,game_id,home_team,away_team,posteam,defteam,game_date,drive,yards_gained,total_home_score,total_away_score,punt_blocked,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,punt_in_endzone,kickoff_inside_twenty,kickoff_in_endzone,solo_tackle,tackled_for_loss,own_kickoff_recovery,rush_attempt,sack,punt_attempt,fumble,fourth_down_converted_away,interception_away,own_kickoff_recovery_away,sack_away,punt_blocked_away,punt_inside_twenty_away,punt_in_endzone_away,yards_gained_away,Pass_comp_percentage,Pass_comp_percentage_away,rush_attempt_away,third_down_converted_away,away_drive,away_first_down_rush,away_first_down_pass,away_third_down_failed,away_fourth_down_failed,away_kickoff_inside_twenty,away_kickoff_in_endzone,away_solo_tackle,away_tackled_for_loss,away_punt_attempt,away_fumble
33,2009092711,NYJ,TEN,NYJ,TEN,2009-09-27,16,229.0,24,17,0.0,3.0,10.0,4.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,25.0,5.0,0.0,31.0,3.0,9.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,286.0,0.5862068965517241,0.42857142857142855,30.0,4.0,15,8.0,9.0,10.0,2.0,1.0,2.0,39.0,6.0,7.0,1.0
34,2009092702,DET,WAS,DET,WAS,2009-09-27,9,381.0,19,14,0.0,6.0,14.0,10.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,49.0,5.0,0.0,36.0,2.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,390.0,0.5833333333333334,0.675,14.0,2.0,10,3.0,18.0,8.0,1.0,0.0,0.0,40.0,2.0,5.0,2.0
35,2009092703,HOU,JAC,HOU,JAC,2009-09-27,10,397.0,24,31,0.0,5.0,17.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,35.0,1.0,0.0,22.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,398.0,0.7647058823529411,0.6,31.0,5.0,10,11.0,10.0,6.0,0.0,2.0,1.0,30.0,3.0,3.0,1.0
36,2009092704,MIN,SF,SF,MIN,2009-09-27,13,377.0,27,23,0.0,2.0,14.0,10.0,10.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,40.0,2.0,0.0,27.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,246.0,0.5333333333333333,0.625,26.0,0.0,14,3.0,8.0,11.0,0.0,1.0,1.0,37.0,7.0,9.0,1.0
37,2009092705,NE,ATL,ATL,NE,2009-09-27,9,445.0,26,10,0.0,10.0,15.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,22.0,2.0,0.0,39.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,257.0,0.5952380952380952,0.6071428571428571,17.0,2.0,8,2.0,11.0,7.0,0.0,0.0,2.0,14.0,1.0,5.0,2.0
38,2009092708,TB,NYG,NYG,TB,2009-09-27,9,86.0,0,24,0.0,2.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,25.0,1.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,397.0,0.44,0.5925925925925926,49.0,10.0,10,12.0,12.0,6.0,0.0,0.0,0.0,53.0,3.0,4.0,0.0
39,2009092706,PHI,KC,PHI,KC,2009-09-27,12,420.0,34,14,0.0,7.0,13.0,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,47.0,3.0,0.0,27.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,196.0,0.6666666666666666,0.7894736842105263,29.0,0.0,11,4.0,6.0,11.0,0.0,0.0,1.0,46.0,4.0,9.0,2.0
40,2009092707,STL,GB,STL,GB,2009-09-27,12,336.0,17,36,0.0,9.0,11.0,4.0,10.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,57.0,3.0,0.0,33.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,402.0,0.5588235294117647,0.5652173913043478,37.0,2.0,12,11.0,10.0,7.0,0.0,0.0,1.0,45.0,2.0,4.0,0.0
41,2009092709,BUF,NO,NO,BUF,2009-09-27,12,243.0,7,27,0.0,5.0,5.0,2.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,29.0,3.0,0.0,21.0,4.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,378.0,0.6,0.5517241379310345,38.0,5.0,13,11.0,8.0,10.0,1.0,1.0,0.0,29.0,2.0,5.0,2.0
42,2009092710,SEA,CHI,CHI,SEA,2009-09-27,12,346.0,19,25,0.0,5.0,12.0,7.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,57.0,2.0,0.0,28.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,320.0,0.6046511627906976,0.8076923076923077,28.0,4.0,12,3.0,11.0,8.0,0.0,0.0,3.0,40.0,5.0,4.0,3.0
